time,price,trade,amount
2017/4/28,3439.753,10163235100.00 ,113761006698.00 
2017/4/27,3446.7202,12329842500.00 ,134610947828.00 
2017/4/26,3445.1832,11194002900.00 ,131316579234.00 
2017/4/25,3440.9743,9407214800.00 ,107599357209.00 
2017/4/24,3431.2587,11466079100.00 ,122778154321.00 
2017/4/21,3466.7865,10441911000.00 ,115208831746.00 
2017/4/20,3461.5481,11418420800.00 ,133977258346.00 
2017/4/19,3445.8761,12134926400.00 ,127050362407.00 
2017/4/18,3462.7429,11092782300.00 ,126790853425.00 
2017/4/17,3479.9417,11716496100.00 ,123884371227.00 
2017/4/14,3486.5045,13547407800.00 ,130425385379.00 
2017/4/13,3514.5662,12998181300.00 ,133345929014.00 
2017/4/12,3509.4387,18182453700.00 ,202154571423.00 
2017/4/11,3517.328,16594583200.00 ,189457268655.00 
2017/4/10,3505.1392,14188738000.00 ,155747834572.00 
2017/4/7,3517.4634,14029320400.00 ,144559675566.00 
2017/4/6,3514.0469,13676700400.00 ,145221644165.00 
2017/4/5,3503.8932,14339901700.00 ,160742981172.00 
2017/3/31,3456.0455,9157749100.00 ,100984904830.00 
2017/3/30,3436.758,11637692200.00 ,122088021630.00 
2017/3/29,3465.1933,10485170600.00 ,114663468279.00 
2017/3/28,3469.8093,8419482000.00 ,97495938764.90 
2017/3/27,3478.0385,10701537700.00 ,124388012134.00 
2017/3/24,3489.5997,12564583300.00 ,141752526681.00 
2017/3/23,3461.9782,9431806200.00 ,115813813702.00 
2017/3/22,3450.0502,10493589400.00 ,123865640376.00 
2017/3/21,3466.3468,8770785500.00 ,113528201390.00 
2017/3/20,3449.6126,8873432200.00 ,103769403896.00 
2017/3/17,3445.8051,10375556000.00 ,122368918550.00 
2017/3/16,3481.5066,10633391300.00 ,124695573677.00 
2017/3/15,3463.6436,7910495400.00 ,94056256666.80 
2017/3/14,3456.6934,7707796300.00 ,95317564129.40 
2017/3/13,3458.098,9168412400.00 ,108489140923.00 
2017/3/10,3427.8916,7001619900.00 ,82161714922.60 
2017/3/9,3426.9438,8457038100.00 ,90090049489.80 
2017/3/8,3448.7313,7958769000.00 ,89124904682.20 
2017/3/7,3453.9565,8033472000.00 ,94483824245.10 
2017/3/6,3446.484,8307088200.00 ,95178548495.50 
2017/3/3,3427.8628,8099465200.00 ,90009618835.20 
2017/3/2,3435.0963,8989807700.00 ,97876187925.20 
2017/3/1,3458.4376,10326035400.00 ,109317781348.00 
2017/2/28,3452.8103,7521526000.00 ,81979307360.80 
2017/2/27,3446.2228,9867216000.00 ,106830874529.00 
2017/2/24,3473.8517,9553513300.00 ,99875164758.60 
2017/2/23,3473.3236,9953633000.00 ,106555922466.00 
2017/2/22,3489.7567,10281599400.00 ,109232425841.00 
2017/2/21,3482.823,11484200900.00 ,120675429543.00 
2017/2/20,3471.3926,13262886200.00 ,134681505159.00 
2017/2/17,3421.4419,11460003600.00 ,118033129670.00 
